iter	Passed	Remaining
421	1968	2696
422	1972	2690
423	1979	2689
424	1984	2684
425	1988	2679
426	1993	2675
427	1996	2668
428	1999	2661
429	2005	2657
430	2008	2651
431	2011	2645
432	2015	2638
433	2019	2633
434	2022	2627
435	2026	2620
436	2030	2615
437	2035	2611
438	2038	2605
439	2042	2598
440	2046	2594
441	2087	2635
442	2090	2628
443	2093	2621
444	2096	2614
445	2099	2608
446	2102	2601
447	2106	2596
448	2113	2594
449	2117	2587
450	2121	2582
451	2125	2576
452	2128	2570
453	2131	2563
454	2134	2556
455	2137	2549
456	2140	2542
457	2145	2538
458	2148	2532
459	2151	2526
460	2155	2520
461	2165	2521
462	2169	2516
463	2174	2512
464	2178	2506
465	2181	2500
466	2184	2493
467	2189	2488
468	2193	2484
469	2197	2477
470	2200	2471
471	2205	2466
472	2208	2460
473	2211	2454
474	2216	2449
475	2219	2443
476	2222	2436
477	2226	2431
478	2231	2427
479	2235	2421
480	2238	2415
481	2247	2415
482	2250	2409
483	2254	2403
484	2257	2397
485	2262	2393
486	2266	2387
487	2269	2381
488	2276	2379
489	2279	2372
490	2283	2366
491	2286	2360
492	2290	2355
493	2295	2350
494	2300	2346
495	2304	2341
496	2307	2335
497	2310	2329
498	2316	2326
499	2320	2320
500	2323	2314
501	2326	2308
502	2331	2303
503	2335	2298
504	2338	2291
505	2344	2288
506	2347	2282
507	2350	2276
508	2353	2270
509	2359	2267
510	2362	2261
511	2365	2255
512	2369	2249
513	2374	2244
514	2377	2238
515	2380	2233
516	2384	2228
517	2389	2223
518	2392	2217
519	2395	2211
520	2401	2208
521	2404	2201
522	2407	2195
523	2411	2190
524	2415	2185
525	2418	2179
526	2421	2173
527	2424	2167
528	2428	2162
529	2431	2156
530	2434	2150
531	2439	2146
532	2442	2140
533	2446	2134
534	2449	2128
535	2455	2125
536	2458	2119
537	2461	2113
538	2464	2107
539	2469	2103
540	2472	2098
541	2476	2092
542	2481	2088
543	2484	2083
544	2487	2077
545	2491	2071
546	2495	2066
547	2499	2061
548	2503	2056
549	2515	2058
550	2520	2053
551	2525	2049
552	2528	2043
553	2532	2038
554	2535	2032
555	2540	2028
556	2543	2023
557	2546	2017
558	2553	2014
559	2556	2008
560	2559	2003
561	2563	1997
562	2567	1992
563	2570	1987
564	2573	1981
565	2576	1975
566	2580	1970
567	2583	1964
568	2586	1959
569	2591	1955
570	2595	1949
571	2598	1944
572	2603	1940
573	2606	1934
574	2610	1929
575	2613	1923
576	2619	1920
577	2622	1914
578	2625	1909
579	2628	1903
580	2633	1898
581	2636	1893
582	2644	1891
583	2648	1886
584	2652	1881
585	2659	1879
586	2663	1874
587	2667	1868
588	2674	1866
589	2677	1860
590	2681	1855
591	2684	1850
592	2689	1845
593	2692	1840
594	2695	1834
595	2701	1831
596	2705	1826
597	2708	1820
598	2711	1815
599	2717	1811
600	2720	1806
601	2723	1800
602	2729	1797
603	2733	1792
604	2736	1786
605	2739	1781
606	2745	1777
607	2749	1772
608	2752	1767
609	2757	1762
610	2761	1758
611	2765	1753
612	2768	1747
613	2772	1742
614	2775	1737
615	2779	1732
616	2782	1726
617	2788	1723
618	2791	1718
619	2794	1712
620	2797	1707
621	2802	1703
622	2806	1698
623	2809	1692
624	2812	1687
625	2818	1684
626	2822	1678
627	2825	1673
628	2832	1670
629	2835	1665
630	2838	1660
631	2841	1654
632	2846	1650
633	2849	1644
634	2852	1639
635	2855	1634
636	2859	1629
637	2863	1624
638	2871	1622
639	2874	1617
640	2878	1611
641	2886	1609
642	2889	1604
643	2892	1599
644	2897	1594
645	2901	1589
646	2904	1584
647	2907	1579
648	2912	1575
649	2916	1570
650	2920	1565
651	2925	1561
652	2931	1557
653	2934	1552
654	2938	1547
655	2941	1542
656	2945	1537
657	2948	1532
658	2955	1529
659	2958	1524
660	2961	1518
661	2966	1514
662	2972	1510
663	2976	1506
664	2982	1502
665	2987	1498
666	2990	1493
667	2996	1489
668	2999	1484
669	3002	1478
670	3005	1473
671	3012	1470
672	3015	1465
673	3018	1459
674	3021	1454
675	3026	1450
676	3029	1445
677	3032	1440
678	3040	1437
679	3043	1432
680	3046	1427
681	3050	1422
682	3054	1417
683	3058	1412
684	3061	1407
685	3067	1404
686	3070	1399
687	3074	1394
688	3077	1389
689	3082	1384
690	3085	1379
691	3088	1374
692	3096	1371
693	3100	1366
694	3103	1361
695	3106	1356
696	3110	1352
697	3114	1347
698	3116	1342
699	3120	1337
700	3123	1332
701	3126	1327
702	3129	1322
703	3135	1318
704	3138	1313
705	3141	1308
706	3144	1303
707	3151	1299
708	3154	1294
709	3156	1289
710	3159	1284
711	3164	1279
712	3167	1275
713	3170	1269
714	3173	1264
715	3180	1261
716	3183	1256
717	3186	1251
718	3190	1246
719	3197	1243
720	3206	1240
721	3209	1235
722	3212	1230
723	3217	1226
724	3220	1221
725	3224	1216
726	3226	1211
727	3234	1208
728	3237	1203
729	3240	1198
730	3245	1194
731	3249	1189
732	3253	1184
733	3256	1180
734	3260	1175
735	3263	1170
736	3266	1165
737	3272	1161
738	3275	1157
739	3278	1152
740	3282	1147
741	3288	1143
742	3291	1138
743	3294	1133
744	3299	1129
745	3303	1124
746	3307	1120
747	3310	1115
748	3314	1110
749	3318	1106
750	3321	1101
751	3325	1096
752	3328	1091
753	3331	1087
754	3334	1082
755	3339	1077
756	3343	1073
757	3346	1068
758	3350	1063
759	3353	1059
760	3356	1054
761	3360	1049
762	3368	1046
763	3372	1041
764	3375	1037
765	3383	1033
766	3386	1028
767	3390	1024
768	3394	1019
769	3398	1015
770	3401	1010
771	3404	1005
772	3410	1001
773	3412	996
774	3416	991
775	3419	987
776	3424	982
777	3427	978
778	3430	973
779	3437	969
780	3439	964
781	3442	959
782	3446	955
783	3451	951
784	3455	946
785	3458	941
786	3464	937
787	3467	932
788	3470	928
789	3473	923
790	3479	919
791	3482	914
792	3485	909
793	3488	905
794	3494	901
795	3497	896
796	3500	891
797	3503	886
798	3508	882
799	3511	877
800	3514	873
801	3517	868
802	3521	863
803	3524	859
804	3527	854
805	3537	851
806	3541	847
807	3548	843
808	3551	838
809	3555	833
810	3561	829
811	3564	825
812	3567	820
813	3571	816
814	3577	812
815	3580	807
816	3583	802
817	3589	798
818	3593	794
819	3596	789
820	3600	784
821	3607	781
822	3611	776
823	3614	771
824	3618	767
825	3623	763
826	3626	758
827	3629	753
828	3635	749
829	3638	745
830	3641	740
831	3644	735
832	3651	731
833	3654	727
834	3657	722
835	3662	718
836	3666	714
837	3670	709
838	3673	704
839	3677	700
840	3680	695
841	3683	691
842	3689	687
843	3692	682
844	3696	677
845	3701	673
846	3705	669
847	3712	665
848	3718	661
849	3722	656
850	3726	652
851	3731	648
852	3736	643
853	3741	639
854	3747	635
855	3751	631
856	3755	626
857	3762	622
858	3766	618
859	3770	613
860	3774	609
861	3778	604
862	3782	600
863	3785	595
864	3789	591
865	3792	586
866	3796	582
867	3801	578
868	3804	573
869	3807	569
870	3811	564
871	3816	560
872	3819	555
873	3822	551
874	3829	547
875	3833	542
876	3836	538
877	3840	533
878	3845	529
879	3848	524
880	3851	520
881	3861	516
882	3865	512
883	3868	507
884	3872	503
885	3876	498
886	3884	494
887	3888	490
888	3895	486
889	3898	481
890	3902	477
891	3905	472
892	3947	473
893	3954	468
894	3957	464
895	3960	459
896	3963	455
897	3971	451
898	3975	446
899	3978	442
900	3982	437
901	3986	433
902	3990	428
903	3994	424
904	3997	419
905	4000	415
906	4008	411
907	4012	406
908	4015	402
909	4023	397
910	4028	393
911	4036	389
912	4041	385
913	4050	381
914	4054	376
915	4058	372
916	4067	368
917	4071	363
918	4077	359
919	4081	354
920	4085	350
921	4095	346
922	4100	342
923	4109	337
924	4112	333
925	4115	328
926	4119	324
927	4123	319
928	4126	315
929	4129	310
930	4133	306
931	4136	301
932	4139	297
933	4143	292
934	4147	288
935	4152	283
936	4155	279
937	4158	274
938	4162	270
939	4166	265
940	4169	261
941	4176	257
942	4180	252
943	4183	248
944	4188	243
945	4191	239
946	4194	234
947	4198	230
948	4202	225
949	4205	221
950	4209	216
951	4213	212
952	4216	207
953	4221	203
954	4225	199
955	4230	194
956	4233	190
957	4236	185
958	4243	181
959	4246	176
960	4250	172
961	4254	168
962	4258	163
963	4261	159
964	4264	154
965	4271	150
966	4274	145
967	4277	141
968	4280	136
969	4286	132
970	4290	128
971	4293	123
972	4296	119
973	4300	114
974	4303	110
975	4306	105
976	4310	101
977	4314	97
978	4317	92
979	4321	88
980	4327	83
981	4330	79
982	4334	74
983	4338	70
984	4342	66
985	4346	61
986	4349	57
987	4355	52
988	4359	48
989	4362	44
990	4366	39
991	4370	35
992	4373	30
993	4376	26
994	4382	22
995	4386	17
996	4389	13
997	4392	8
998	4396	4
999	4400	0
